flare ID,request ID,X flare loc,Y flare loc,FWDFIT X SIGMA,FWDFIT Y SIGMA,MAX X COORD BP,MAX Y COORD BP
2211141757, 2211146020, 1317.595093, 499.666840, 1.891896, 2.411252, 1315.541504, 495.175751
2211141807, 2211146020, 1352.849609, 500.459290, 1.869734, 2.729653, 1352.337646, 495.118164
2211141817, 2211146020, 1261.576782, 657.929077, 0.997480, 0.533199, 1256.124512, 650.229187
2211141925, 2211149211, 1321.215698, 516.244202, 0.157900, 0.206985, 1321.609253, 516.830444
2211142005, 2211144192, 1337.515991, 487.638855, 1.376844, 2.412183, 1335.757324, 479.691864
2211142040, 2211149647, 1333.846191, 521.332520, 0.358554, 0.347151, 1327.853760, 516.387573
2211142112, 2211148609, 1327.836548, 517.912842, 0.337779, 0.288363, 1319.985474, 516.195435
2211142137, 2211141558, 1340.913208, 525.000183, 0.499356, 0.423794, 1334.361084, 523.423401
2211142143, 2211141558, 1337.035767, 527.562744, 1.025424, 1.227068, 1334.273560, 523.389099
2211142151, 2211145517, 1331.421509, 519.345093, 0.182756, 0.218209, 1326.779419, 515.969788
2211142250, 2211147867, 1354.642090, 495.102631, 0.365246, 0.622751, 1347.982910, 493.523804
2211142310, 2211147867, 1355.483154, 543.438477, 12.000789, 12.080571, 1347.672485, 537.596130
2211142324, 2211141248, 1331.372559, 518.049194, 1.377404, 1.230874, 1332.732788, 515.421570
2211142339, 2211141248, 1360.531128, 492.537628, 0.745742, 0.647773, 1354.594727, 493.249176
